City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,srednekolymsk,67.45,153.6833,229.42,100,64,1.25,RU,1670189519
146,sao filipe,14.8961,-24.4956,295.39,65,90,1.87,CV,1670189520
147,anadyr,64.75,177.4833,262.43,85,20,14.0,RU,1670189520
148,gat,31.61,34.7642,290.04,64,0,2.2,IL,1670189280
149,half moon bay,37.4636,-122.4286,289.92,74,20,6.17,US,1670189520
150,qui nhon,13.7667,109.2333,297.02,90,81,4.35,VN,1670189317
151,bulgan,48.8125,103.5347,250.62,85,10,1.54,MN,1670189521
152,salvador,13.8333,-88.9167,302.07,42,0,1.78,SV,1670189337
153,baturaja,-4.1333,104.1667,294.84,96,100,0.82,ID,1670189521
154,harper,4.375,-7.7169,299.24,83,77,3.15,LR,1670189522
155,henties bay,-22.116,14.2845,288.01,89,2,4.37,NA,1670189522
156,victor harbor,-35.5667,138.6167,289.26,75,100,0.45,AU,1670189522
157,taltal,-25.4,-70.4833,293.0,66,23,2.05,CL,1670189523
158,maragogi,-9.0122,-35.2225,297.77,82,57,5.22,BR,1670189523
159,namatanai,-3.6667,152.4333,300.43,79,100,2.52,PG,1670189524
160,san cristobal,7.7669,-72.225,296.25,80,76,1.99,VE,1670189524
161,kanlagay,5.8757,121.2915,300.35,79,77,1.51,PH,1670189525
162,kapit,2.0167,112.9333,294.81,99,100,0.59,MY,1670189525
163,east london,-33.0153,27.9116,293.27,88,100,8.16,ZA,1670189525
164,chokurdakh,70.6333,147.9167,233.59,100,43,1.45,RU,1670189526
165,neiafu,-18.65,-173.9833,302.53,79,20,2.06,TO,1670189526
166,indianola,41.3581,-93.5574,281.42,33,3,1.79,US,1670189526
167,kondinskoye,59.6481,67.41,253.79,100,77,2.16,RU,1670189527
168,broken hill,-31.95,141.4333,294.59,39,99,6.99,AU,1670189527
169,shakiso,5.75,38.9167,286.56,69,40,1.81,ET,1670189528
170,mahebourg,-20.4081,57.7,298.31,78,40,3.09,MU,1670189528
171,sainte-anne-des-monts,49.124,-66.4924,271.08,64,100,13.38,CA,1670189529
172,volodarskiy,46.4013,48.5409,261.12,51,5,4.19,RU,1670189529
173,praia da vitoria,38.7333,-27.0667,287.46,88,20,4.46,PT,1670189530
174,charapan,19.6667,-102.2333,291.48,54,46,1.15,MX,1670189530
175,suarez,2.954,-76.6964,293.94,92,94,1.21,CO,1670189530
176,atlantic beach,30.3344,-81.3987,297.62,81,0,4.63,US,1670189440
177,niquelandia,-14.4739,-48.4597,296.05,86,75,1.23,BR,1670189400
178,lorengau,-2.0226,147.2712,300.03,82,100,2.13,PG,1670189531
179,port hardy,50.6996,-127.4199,275.25,80,20,0.0,CA,1670189532
180,strezhevoy,60.7333,77.5889,248.71,100,83,0.76,RU,1670189532
181,ancud,-41.8697,-73.8203,286.9,85,99,5.54,CL,1670189532
182,westport,41.1415,-73.3579,279.57,48,0,2.57,US,1670189506
183,haines junction,60.7522,-137.5108,265.89,95,61,0.79,CA,1670189533
184,tura,25.5198,90.2201,288.38,85,0,1.73,IN,1670189533
185,husavik,66.0449,-17.3389,273.44,70,89,4.69,IS,1670189534
186,port-gentil,-0.7193,8.7815,300.13,89,20,2.06,GA,1670189534
187,ostrovnoy,68.0531,39.5131,267.56,89,97,6.46,RU,1670189534
188,muros,42.7762,-9.0603,281.86,91,84,1.95,ES,1670189535
189,palmer,42.1584,-72.3287,276.8,55,100,3.6,US,1670189535
190,poronaysk,49.2167,143.1167,257.49,76,39,4.75,RU,1670189535
191,axim,4.8699,-2.2405,299.09,85,94,3.72,GH,1670189536
192,ribeira grande,38.5167,-28.7,288.37,72,20,4.63,PT,1670189536
193,xiaoshi,41.2971,124.1209,262.1,67,0,1.3,CN,1670189536
194,brainerd,46.358,-94.2008,274.29,47,0,5.66,US,1670189474
195,kununurra,-15.7667,128.7333,296.14,88,100,0.0,AU,1670189331
196,dubno,50.4169,25.7343,270.87,81,100,6.24,UA,1670189537
197,sitka,57.0531,-135.33,275.09,75,40,2.06,US,1670189537
198,lardos,36.0942,28.0157,290.34,79,0,4.02,GR,1670189538
199,presidente dutra,-5.29,-44.49,298.31,79,86,1.48,BR,1670189538
200,iqaluit,63.7506,-68.5145,272.0,92,100,6.71,CA,1670189394
201,baiyin,36.5583,104.2081,268.08,43,0,1.1,CN,1670189512
202,waris aliganj,25.0167,85.6333,286.84,49,2,2.56,IN,1670189539
203,shebunino,46.4339,141.8603,265.1,77,100,9.54,RU,1670189539
204,baoning,25.3378,110.026,279.07,87,100,3.0,CN,1670189540
205,dikson,73.5069,80.5464,271.54,85,100,9.86,RU,1670189540
206,berezovyy,51.6667,135.7,249.17,77,44,4.29,RU,1670189541
207,buckeye,33.3703,-112.5838,293.25,83,20,3.6,US,1670189541
208,fortuna,40.5982,-124.1573,284.63,91,75,3.09,US,1670189542
209,san borja,-14.8167,-66.85,305.37,41,58,2.02,BO,1670189542
210,borzna,51.2546,32.4269,267.87,40,40,5.14,UA,1670189543
211,sobolevo,54.4299,31.8996,263.49,87,100,4.34,RU,1670189543
212,saint-augustin,51.226,-58.6502,275.23,99,100,3.96,CA,1670189543
213,matagami,49.7502,-77.6328,264.21,86,100,3.09,CA,1670189544
214,arraial do cabo,-22.9661,-42.0278,298.07,73,0,11.83,BR,1670189424
215,wuwei,37.9281,102.6414,267.35,62,10,1.14,CN,1670189544
216,talcahuano,-36.7167,-73.1167,293.97,56,0,8.23,CL,1670189545
217,saint george,37.1041,-113.5841,290.61,43,0,1.34,US,1670189342
218,high prairie,55.4334,-116.4858,266.61,60,100,5.63,CA,1670189400
219,kaitangata,-46.2817,169.8464,284.19,70,100,1.22,NZ,1670189545
220,chernyshevskiy,63.0128,112.4714,251.43,82,100,6.36,RU,1670189546
221,ouegoa,-20.35,164.4333,299.74,82,98,4.15,NC,1670189546
222,bredasdorp,-34.5322,20.0403,287.6,69,86,1.61,ZA,1670189546
223,winder,33.9926,-83.7202,288.32,60,0,2.06,US,1670189257
224,lodeynoye pole,60.726,33.5531,268.62,95,100,3.64,RU,1670189547
225,shingu,33.7333,135.9833,281.74,65,76,2.07,JP,1670189547
226,victoria,22.2855,114.1577,292.18,81,100,6.71,HK,1670189524
227,jurm,36.8648,70.8342,274.85,72,96,1.5,AF,1670189548
228,ust-kulom,61.6864,53.6902,254.6,98,27,1.26,RU,1670189548
229,alakurtti,66.9672,30.3491,260.81,99,100,0.9,RU,1670189548
230,gravdal,68.1214,13.5031,278.09,100,100,5.66,NO,1670189549
231,avarua,-21.2078,-159.775,302.18,79,100,4.12,CK,1670189549
232,honningsvag,70.9821,25.9704,271.01,74,75,6.17,NO,1670189549
233,laizhou,37.1717,119.9214,272.96,55,64,2.06,CN,1670189550
234,lompoc,34.6391,-120.4579,292.33,69,20,3.09,US,1670189550
235,fillan,63.6064,8.9696,271.84,65,100,4.13,NO,1670189550
236,grand gaube,-20.0064,57.6608,298.37,70,60,2.24,MU,1670189551
237,ahipara,-35.1667,173.1667,292.16,60,0,1.48,NZ,1670189551
238,bairiki,1.3292,172.9752,302.15,74,20,5.66,KI,1670189551
239,ariquemes,-9.9133,-63.0408,300.08,68,89,0.23,BR,1670189552
240,nelidovo,56.2211,32.7774,265.92,80,100,3.87,RU,1670189552
241,chabahar,25.2919,60.643,296.45,48,0,2.15,IR,1670189552
242,alofi,-19.0595,-169.9187,301.09,78,73,2.57,NU,1670189553
243,la ronge,55.1001,-105.2842,265.29,57,100,11.32,CA,1670189553
244,santa rosa,14.3122,121.1114,300.14,88,100,3.49,PH,1670189553
245,kavaratti,10.5669,72.642,300.23,79,90,3.06,IN,1670189554
246,auki,-8.7676,160.7034,301.15,74,89,2.69,SB,1670189554
247,touros,-5.1989,-35.4608,299.24,74,76,6.44,BR,1670189478
248,den helder,52.9599,4.7593,277.14,83,100,8.23,NL,1670189554
249,lucapa,-8.4192,20.7447,291.11,97,100,0.36,AO,1670189555
250,monrovia,6.3005,-10.7969,299.37,80,99,2.43,LR,1670189325
251,bubaque,11.2833,-15.8333,299.96,66,96,5.55,GW,1670189555
252,baiquan,47.5833,126.0833,248.35,95,5,3.05,CN,1670189555
253,bulalacao,12.3254,121.3435,299.95,76,100,6.51,PH,1670189556
254,helena,46.5927,-112.0361,273.8,68,100,2.06,US,1670189309
255,san julian,21.0167,-102.1667,296.08,25,2,2.76,MX,1670189556
256,ashland,40.8167,-82.2665,275.92,48,0,4.48,US,1670189260
257,tuatapere,-46.1333,167.6833,285.57,78,100,1.24,NZ,1670189557
258,leshukonskoye,64.8989,45.7622,257.07,93,42,2.51,RU,1670189557
259,port hawkesbury,45.6169,-61.3485,276.58,92,100,5.81,CA,1670189557
260,finschhafen,-6.6024,147.8681,300.2,82,100,3.15,PG,1670189557
261,tema,5.667,-0.0166,300.38,89,0,2.06,GH,1670189558
262,ternate,0.8,127.4,299.63,78,100,1.48,ID,1670189558
263,antsohihy,-14.8796,47.9875,297.27,91,5,1.08,MG,1670189558
264,trang,7.5,99.5,295.88,99,98,1.3,TH,1670189559
265,marawi,7.9986,124.2928,293.21,93,97,0.82,PH,1670189559
266,asau,46.4333,26.4,271.66,98,100,1.58,RO,1670189559
267,tefe,-3.3542,-64.7114,301.21,78,20,1.03,BR,1670189560
268,sarangani,5.4033,125.4636,301.06,75,100,3.51,PH,1670189560
269,petropavlovsk-kamchatskiy,53.0452,158.6483,257.48,66,0,6.0,RU,1670189490
270,sorong,-0.8833,131.25,299.29,83,100,2.61,ID,1670189560
271,jhawarian,32.3614,72.6228,287.67,33,0,0.77,PK,1670189561
272,rio grande,-32.035,-52.0986,300.21,87,13,5.61,BR,1670189561
273,tuktoyaktuk,69.4541,-133.0374,247.15,76,20,5.14,CA,1670189561
274,saint-pierre,-21.3393,55.4781,296.43,73,20,3.09,RE,1670189562
275,dudinka,69.4058,86.1778,265.72,94,100,6.5,RU,1670189562
276,belmonte,-15.8631,-38.8828,296.71,84,100,4.52,BR,1670189562
277,mount gambier,-37.8333,140.7667,286.36,77,100,5.33,AU,1670189512
278,jacksonville,30.3322,-81.6556,297.61,76,75,2.57,US,1670189433
279,eyl,7.9803,49.8164,297.54,73,97,7.71,SO,1670189563
280,birjand,32.8663,59.2211,276.41,48,0,3.09,IR,1670189563
281,ketchikan,55.3422,-131.6461,275.14,69,0,5.66,US,1670189563
282,price,39.5994,-110.8107,279.74,49,75,0.0,US,1670189429
283,beringovskiy,63.05,179.3167,262.66,84,100,4.19,RU,1670189564
284,baykit,61.67,96.37,256.46,94,100,3.15,RU,1670189564
285,rock sound,24.9,-76.2,297.49,63,3,7.91,BS,1670189565
286,torbay,47.6666,-52.7314,276.08,87,75,12.86,CA,1670189565
287,peru,40.7537,-86.0689,276.73,46,0,5.14,US,1670189519
288,guatire,10.4762,-66.5427,294.37,92,100,1.26,VE,1670189565
289,pitea,65.3172,21.4794,270.2,97,79,1.79,SE,1670189566
